-101.458,21.866,1,1,V
-101.476,21.866,1,2,V
-101.485,21.848,1,3,V
-101.540,21.848,1,4,V
-101.531,21.803,1,5,V
-101.531,21.776,1,6,V
-101.540,21.739,1,7,V
-101.550,21.676,1,8,V
-101.568,21.649,1,9,V
-101.569,21.622,1,10,V
-101.578,21.594,1,11,V
-101.578,21.567,1,12,V
-101.542,21.494,1,13,V
-101.552,21.476,1,14,V
-101.624,21.468,1,15,V
-101.634,21.440,1,16,V
-101.607,21.413,1,17,V
-101.607,21.349,1,18,V
-101.662,21.332,1,19,V
-101.726,21.287,1,20,V
-101.763,21.205,1,21,V
-101.818,21.142,1,22,V
-101.864,21.079,1,23,V
-101.873,21.025,1,24,V
-101.910,20.971,1,25,V
-101.956,20.944,1,26,V
-102.002,20.872,1,27,V
-102.029,20.817,1,28,V
-102.002,20.781,1,29,V
-101.966,20.753,1,30,V
-101.958,20.699,1,31,V
-101.930,20.680,1,32,V
-101.912,20.671,1,33,V
-101.904,20.644,1,34,V
-101.913,20.617,1,35,V
-101.931,20.580,1,36,V
-101.941,20.553,1,37,V
-101.968,20.526,1,38,V
-101.977,20.517,1,39,V
-101.996,20.472,1,40,V
-102.005,20.463,1,41,V
-102.023,20.427,1,42,V
-102.033,20.409,1,43,V
-102.038,20.374,1,44,V
-102.040,20.372,1,45,V
-102.040,20.369,1,46,V
-102.040,20.366,1,47,V
-102.042,20.364,1,48,V
-102.046,20.361,1,49,V
-102.049,20.361,1,50,V
-102.051,20.360,1,51,V
-102.054,20.360,1,52,V
-102.057,20.359,1,53,V
-102.060,20.359,1,54,V
-102.063,20.360,1,55,V
-102.066,20.360,1,56,V
-102.071,20.359,1,57,V
-102.075,20.358,1,58,V
-102.079,20.358,1,59,V
-102.082,20.357,1,60,V
-102.084,20.357,1,61,V
-102.087,20.356,1,62,V
-102.090,20.355,1,63,V
-102.091,20.355,1,64,V
-102.093,20.357,1,65,V
-102.096,20.359,1,66,V
-102.098,20.359,1,67,V
-102.100,20.359,1,68,V
-102.102,20.359,1,69,V
-102.104,20.360,1,70,V
-102.105,20.361,1,71,V
-102.107,20.362,1,72,V
-102.109,20.363,1,73,V
-102.111,20.363,1,74,V
-102.114,20.362,1,75,V
-102.117,20.362,1,76,V
-102.118,20.361,1,77,V
-102.121,20.359,1,78,V
-102.123,20.359,1,79,V
-102.125,20.358,1,80,V
-102.127,20.358,1,81,V
-102.130,20.358,1,82,V
-102.133,20.358,1,83,V
-102.135,20.358,1,84,V
-102.140,20.356,1,85,V
-102.140,20.356,1,86,V
-102.142,20.356,1,87,V
-102.143,20.355,1,88,V
-102.144,20.355,1,89,V
-102.145,20.355,1,90,V
-102.147,20.357,1,91,V
-102.150,20.358,1,92,V
-102.151,20.359,1,93,V
-102.152,20.359,1,94,V
-102.153,20.358,1,95,V
-102.154,20.357,1,96,V
-102.154,20.356,1,97,V
-102.155,20.355,1,98,V
-102.156,20.354,1,99,V
-102.158,20.353,1,100,V
-102.160,20.353,1,101,V
-102.162,20.354,1,102,V
-102.167,20.355,1,103,V
-102.169,20.355,1,104,V
-102.170,20.355,1,105,V
-102.172,20.356,1,106,V
-102.173,20.355,1,107,V
-102.175,20.356,1,108,V
-102.177,20.355,1,109,V
-102.179,20.355,1,110,V
-102.181,20.356,1,111,V
-102.183,20.356,1,112,V
-102.183,20.355,1,113,V
-102.183,20.355,1,114,V
-102.181,20.354,1,115,V
-102.180,20.352,1,116,V
-102.179,20.351,1,117,V
-102.179,20.350,1,118,V
-102.178,20.348,1,119,V
-102.178,20.346,1,120,V
-102.178,20.346,1,121,V
-102.180,20.345,1,122,V
-102.182,20.345,1,123,V
-102.183,20.345,1,124,V
-102.185,20.345,1,125,V
-102.187,20.345,1,126,V
-102.189,20.345,1,127,V
-102.191,20.345,1,128,V
-102.192,20.346,1,129,V
-102.194,20.346,1,130,V
-102.195,20.346,1,131,V
-102.196,20.346,1,132,V
-102.196,20.345,1,133,V
-102.194,20.341,1,134,V
-102.194,20.340,1,135,V
-102.193,20.339,1,136,V
-102.192,20.337,1,137,V
-102.193,20.336,1,138,V
-102.197,20.334,1,139,V
-102.201,20.332,1,140,V
-102.203,20.331,1,141,V
-102.206,20.331,1,142,V
-102.207,20.331,1,143,V
-102.209,20.330,1,144,V
-102.212,20.329,1,145,V
-102.215,20.329,1,146,V
-102.218,20.329,1,147,V
-102.224,20.332,1,148,V
-102.227,20.333,1,149,V
-102.228,20.333,1,150,V
-102.229,20.333,1,151,V
-102.230,20.330,1,152,V
-102.232,20.329,1,153,V
-102.236,20.328,1,154,V
-102.236,20.328,1,155,V
-102.237,20.328,1,156,V
-102.238,20.327,1,157,V
-102.240,20.326,1,158,V
-102.241,20.325,1,159,V
-102.241,20.322,1,160,V
-102.244,20.321,1,161,V
-102.245,20.320,1,162,V
-102.248,20.320,1,163,V
-102.249,20.319,1,164,V
-102.252,20.318,1,165,V
